month,milk production per month in litres
2015-01,8053.5
2015-02,6045.5
2015-03,5461.3
2015-04,3576.5
2015-05,5044.5
2015-06,4987
2015-07,4233
2015-08,3278.5
2015-09,1653
2015-10,1816.5
2015-11,246.5
2015-12,4304.5
2016-01,4348.5
2016-02,5073.5
2016-03,5325
2016-04,5671.5
2016-05,6947
2016-06,6123.5
2016-07,5562.5
2016-08,4872.5
2016-09,3804
2016-10,3858.5
2016-11,3725
2016-12,4261
2017-01,3807
2017-02,3148
2017-03,3288
2017-04,3095.5
2017-05,4044
2017-06,3690
2017-07,3288
2017-08,3915
2017-09,5297.5
2017-10,6282.5
2017-11,6417
2017-12,6145
2018-01,4956.5
2018-02,4397.5
2018-03,5236
2018-04,5612
2018-05,4322.5
2018-06,4001
2018-07,4885
2018-08,5070.5
2018-09,5012
2018-10,4682
2018-11,4093
2018-12,4305
2019-01,3928
2019-02,3136
2019-03,2867.5
2019-04,2495.5
2019-05,3280
2019-06,2746.5
2019-07,2830.5
2019-08,2682
2019-09,2911.5
2019-10,2738
2019-11,4612.5
2019-12,3439
